DEC,HEX,Char,Name,Description,Esc Seq.,DEC,HEX,setting,Char,DEC,HEX,setting,Char,DEC,HEX,setting,Char
0,0,^@,NUL,Null,,32,20,idleWorking,Space,64,40,,@,96,60,,`
1,1,^A,SOH,Start of heading,,33,21,currentStepoff,!,65,41,pwm600,A,97,61,servo angle1,a
2,2,^B,STX,Start of text,,34,22,allStepoff,"""",66,42,650,B,98,62,8,b
3,3,^C,ETX,End of text,,35,23,servo.1,#,67,43,700,C,99,63,15,c
4,4,^D,EOT,End of xmit,,36,24,servo.2,$,68,44,750,D,100,64,22,d
5,5,^E,ENQ,Enquiry,,37,25,step.1,%,69,45,800,E,101,65,29,e
6,6,^F,ACK,Acknowledge,,38,26,step.2,&,70,46,850,F,102,66,36,f
7,7,^G,BEL,Bell,\a,39,27,step.3,',71,47,900,G,103,67,43,g
8,8,^H,BS,Backspace,\b,40,28,step.4,(,72,48,950,H,104,68,50,h
9,9,^I,HT,Horizontal tab,\t,41,29,step.5,),73,49,1000,I,105,69,57,i
10,0A,^J,LF,Line feed,\n,42,2A,step.6,*,74,4A,1050,J,106,6A,64,j
11,0B,^K,VT,Vertical tab,\v,43,2B,accelation(+),+,75,4B,1100,K,107,6B,71,k
12,0C,^L,FF,Form feed,\f,44,2C,accelation(0),",",76,4C,1150,L,108,6C,78,l
13,0D,^M,CR,Carriage return,\r,45,2D,accelation(-),-,77,4D,1200,M,109,6D,85,m
14,0E,^N,SOH,Shift out,,46,2E,dev.pwmstep(positive),.,78,4E,1250,N,110,6E,92,n
15,0F,^O,SI,Shift in,,47,2F,dev.pwmstep(negative),/,79,4F,1300,O,111,6F,99,o
16,10,^P,DLE,Data line escape,,48,30,pwmSetting,0,80,50,1350,P,112,70,106,p
17,11,^Q,DC1,Device control 1,,49,31,pwmSetting,1,81,51,1400,Q,113,71,113,q
18,12,^R,DC2,Device control 2,,50,32,pwmSetting,2,82,52,1450,R,114,72,120,r
19,13,^S,DC3,Device control 3,,51,33,pwmSetting,3,83,53,1500,S,115,73,127,s 
20,14,^T,DC4,Device control 4,,52,34,pwmSetting,4,84,54,1550,T,116,74,134,t
21,15,^U,NAK,Negative Acknowledge,,53,35,pwmSetting,5,85,55,1600,U,117,75,141,u
22,16,^V,SYN,Synchronous idle,,54,36,pwmSetting,6,86,56,1650,V,118,76,148,v
23,17,^W,ETB,End of xmit block,,55,37,pwmSetting,7,87,57,1700,W,119,77,155,w
24,18,^X,CAN,Cancel,,56,38,pwmSetting,8,88,58,1750,X,120,78,162,x
25,19,^Y,EM,End of medium,,57,39,pwmSetting,9,89,59,1800,Y,121,79,169,y
26,1A,^Z,SUB,Substitute,,58,3A,devidedStep1,:,90,5A,1850,Z,122,7A,176,z
27,1B,^[,ESC,Escape,,59,3B,devidedStep2,;,91,5B,,[,123,7B,,{
28,1C,^\,FS,File separator,,60,3C,devidedStep4,<,92,5C,,\,124,7C,,|
29,1D,^],GS,Group separator,,61,3D,devidedStep8,=,93,5D,,],125,7D,,}
30,1E,^^,RS,Record separator,,62,3E,devidedStep16,>,94,5E,,^,126,7E,,~
31,1F,^_,US,Unit separator,,63,3F,devidedStep32,?,95,5F,,_,127,7F,,DEL
